1 		Patrick Leahy	Democratic	Vermont	January 3, 1975	 
76	1943	Elizabeth Warren	Democratic	Massachusetts	Massachusetts 15th in population (2010)
77	1944	Deb Fischer	Republican	Nebraska	Nebraska 38th in population (2010)
78	1945	Heidi Heitkamp	Democratic	North Dakota	North Dakota 48th in population (2010)
79	1948	Ed Markey	Democratic	Massachusetts	July 16, 2013	 
80	1949	Cory Booker	Democratic	New Jersey	October 31, 2013
81	1951	Shelley Moore Capito	Republican	West Virginia	January 3, 2015	Former member of the U.S. House of Representatives (14 years)
82	1952	Gary Peters	Democratic	Michigan	Former member of the U.S. House of Representatives (6 years); Michigan 9th in population (2010)
83	1953	Bill Cassidy	Republican	Louisiana	Former member of the U.S. House of Representatives (6 years); Louisiana 25th in population (2010)
84	1954	Cory Gardner	Republican	Colorado	Former member of the U.S. House of Representatives (4 years); Colorado 22nd in population (2010)
85	1955	James Lankford	Republican	Oklahoma	Former member of the U.S. House of Representatives (4 years); Oklahoma 28th in population (2010)
86	1956	Tom Cotton	Republican	Arkansas	Former member of the U.S. House of Representatives (2 years); Arkansas 32nd in population (2010)
87	1957	Steve Daines	Republican	Montana	Former member of the U.S. House of Representatives (2 years); Montana 44th in population (2010)
88	1958	Mike Rounds	Republican	South Dakota	Former governor
89	1959	David Perdue	Republican	Georgia	Georgia 8th in population (2010)
90	1960	Thom Tillis	Republican	North Carolina	North Carolina 10th in population (2010)
91	1961	Joni Ernst	Republican	Iowa	Iowa 30th in population (2010)
92	1962	Ben Sasse	Republican	Nebraska	Nebraska 37th in population (2010)
93	1963	Dan Sullivan	Republican	Alaska	Alaska 47th in population (2010)
94	1964	Chris Van Hollen	Democratic	Maryland	January 3, 2017	Former member of the U.S. House of Representatives (14 years)
95	1965	Todd Young	Republican	Indiana	Former member of the U.S. House of Representatives (6 years)
96	1966	Tammy Duckworth	Democratic	Illinois	Former member of the U.S. House of Representatives (4 years)
97	1967	Maggie Hassan	Democratic	New Hampshire	Former Governor
98	1968	Kamala Harris	Democratic	California	California 1st in population (2010)
99	1969	John Neely Kennedy	Republican	Louisiana	Louisiana 25th in population (2010)
100	1970	Catherine Cortez Masto	Democratic	Nevada	Nevada 35th in population (2010)
101	1971	Luther Strange[7]	Republican	Alabama	February 9, 2017	 
102	1972	Tina Smith[10]	Democratic	Minnesota	January 3, 2018	Minnesota 21st in population (2010)
103	1973	Doug Jones[7]	Democratic	Alabama	Alabama 23rd in population (2010)


